R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR_pct,B_SIG_STR_pct,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_PASS,B_PASS,R_REV,B_REV,date,location,R_SIG_STR._ATT,R_SIG_STR._LANDED,B_SIG_STR._ATT,B_SIG_STR._LANDED,R_TOTAL_STR._ATT,R_TOTAL_STR._LANDED,B_TOTAL_STR._ATT,B_TOTAL_STR._LANDED,R_TD_ATT,R_TD_LANDED,B_TD_ATT,B_TD_LANDED,R_HEAD_ATT,R_HEAD_LANDED,B_HEAD_ATT,B_HEAD_LANDED,R_BODY_ATT,R_BODY_LANDED,B_BODY_ATT,B_BODY_LANDED,R_LEG_ATT,R_LEG_LANDED,B_LEG_ATT,B_LEG_LANDED,R_DISTANCE_ATT,R_DISTANCE_LANDED,B_DISTANCE_ATT,B_DISTANCE_LANDED,R_CLINCH_ATT,R_CLINCH_LANDED,B_CLINCH_ATT,B_CLINCH_LANDED,R_GROUND_ATT,R_GROUND_LANDED,B_GROUND_ATT,B_GROUND_LANDED,title_bout,total_time_fought(sec),no_of_rounds,Red_win,R_Height,R_Weight,R_Reach,R_KO_win_%,R_Sub_win_%,R_Stance_Orthodox,R_Stance_Southpaw,R_num_fights,R_record,R_age,B_Height,B_Weight,B_Reach,B_KO_win_%,B_Sub_win_%,B_Stance_Orthodox,B_Stance_Southpaw,B_num_fights,B_record,B_age,Bantamweight,Featherweight,Flyweight,Heavyweight,Light Heavyweight,Lightweight,Middleweight,Welterweight,Women's Bantamweight,Women's Featherweight,Women's Flyweight,Women's Strawweight
Minotauro Nogueira,Brendan Schaub,1,0,0.42,0.24,0.0,0.0,0,0,0,0,0,0,2011-08-27,0,35,15,45,11,37,17,46,11,2,0,0,0,31,12,39,7,4,3,3,3,0,0,3,1,30,11,40,8,4,3,5,3,1,1,0,0,0,189,3,1,75.0,240.0,77.0,0.4,0.2,1,0,5,0.6,35.2341252729351,76.0,245.0,78.0,0.8,0.0,1,0,5,0.8,28.444115895603606,0,0,0,1,0,0,0,0,0,0,0,0
Mirko Cro Cop,Brendan Schaub,0,1,0.53,0.48,0.0,0.5,0,0,0,1,0,0,2011-03-19,0,39,21,83,40,71,52,156,109,0,0,8,4,26,12,60,23,11,8,22,16,2,1,1,1,18,5,28,3,20,15,30,22,1,1,25,15,0,824,3,0,74.0,230.0,73.0,0.75,0.125,0,1,8,0.5,36.520941566219705,76.0,245.0,78.0,0.75,0.0,1,0,4,0.75,28.003312867478456,0,0,0,1,0,0,0,0,0,0,0,0
Roy Nelson,Fabricio Werdum,0,0,0.37,0.66,0.0,0.0,1,0,0,1,0,0,2012-02-04,1,69,26,136,91,99,55,145,98,0,0,1,0,60,18,88,47,5,5,27,24,4,3,21,20,59,21,121,78,9,4,15,13,1,1,0,0,0,900,3,0,72.0,263.0,72.0,0.6,0.0,1,0,5,0.6,35.625645974934464,76.0,231.0,77.0,0.75,0.0,1,0,4,0.5,34.516793637104115,0,0,0,1,0,0,0,0,0,0,0,0
Cain Velasquez,Fabricio Werdum,0,0,0.52,0.55,0.8,0.33,0,1,1,0,0,0,2015-06-13,0,169,88,174,96,201,117,180,101,5,4,3,1,128,54,150,79,8,6,19,12,33,28,5,5,135,65,149,79,34,23,25,17,0,0,0,0,1,733,5,0,73.0,240.0,77.0,0.8333333333333334,0.0,1,0,12,0.9166666666666666,32.876787339917996,76.0,231.0,77.0,0.5555555555555556,0.1111111111111111,1,0,9,0.7777777777777778,37.87072972066504,0,0,0,1,0,0,0,0,0,0,0,0
Minotauro Nogueira,Fabricio Werdum,0,0,0.35,0.86,0.0,0.5,0,1,0,5,0,0,2013-06-08,0,40,14,37,32,74,46,60,54,1,0,2,1,37,12,23,18,2,1,2,2,1,1,12,12,30,6,25,20,10,8,6,6,0,0,6,6,0,461,5,0,75.0,240.0,77.0,0.375,0.375,1,0,8,0.625,37.016502734484625,76.0,231.0,77.0,0.6666666666666666,0.0,1,0,6,0.6666666666666666,35.858368070528485,0,0,0,1,0,0,0,0,0,0,0,0
Andrei Arlovski,Marcio Cruz,0,0,0.63,0.0,0.0,0.0,1,2,1,0,0,0,2006-12-30,1,11,7,2,0,37,32,2,0,0,0,5,0,9,5,2,0,0,0,0,0,2,2,0,0,6,2,2,0,0,0,0,0,5,5,0,0,0,195,3,1,75.0,240.0,77.0,0.7272727272727273,0.18181818181818182,1,0,11,0.6363636363636364,27.902010308219882,76.0,232.0,78.6,0.3333333333333333,0.3333333333333333,1,0,3,0.6666666666666666,28.685051712218595,0,0,0,1,0,0,0,0,0,0,0,0
Jeff Monson,Marcio Cruz,0,0,0.29,0.37,1.0,0.0,0,0,1,0,0,0,2006-04-15,0,110,32,106,40,240,154,118,51,2,2,5,0,93,16,79,14,12,11,5,5,5,5,22,21,89,16,98,34,11,10,8,6,10,6,0,0,0,900,3,1,69.0,247.0,74.0,0.25,0.25,1,0,4,0.5,35.23960108694908,76.0,232.0,78.6,0.5,0.5,1,0,2,1.0,27.975933797408572,0,0,0,1,0,0,0,0,0,0,0,0
Andrei Arlovski,Justin Eilers,0,0,0.58,0.23,0.0,0.0,0,0,0,0,0,0,2005-06-04,0,56,33,21,5,56,33,23,7,0,0,1,0,43,22,20,4,2,1,0,0,11,10,1,1,48,27,21,5,5,3,0,0,3,3,0,0,1,250,5,1,75.0,240.0,77.0,0.7142857142857143,0.2857142857142857,1,0,7,0.7142857142857143,26.330451686208477,73.0,235.0,74.69655172413793,1.0,0.0,1,0,2,0.5,26.935529134752937,0,0,0,1,0,0,0,0,0,0,0,0
Brandon Vera,Justin Eilers,1,0,0.7,0.57,0.0,0.0,0,0,0,0,0,0,2006-02-04,1,10,7,7,4,10,7,11,8,0,0,0,0,4,3,3,0,3,2,0,0,3,2,4,4,7,4,3,0,2,2,4,4,1,1,0,0,0,85,3,1,75.0,230.0,76.0,1.0,0.0,1,0,1,1.0,28.320910080289124,73.0,235.0,74.69655172413793,1.0,0.0,1,0,3,0.3333333333333333,27.60631635146512,0,0,0,1,0,0,0,0,0,0,0,0
Andrei Arlovski,Tim Sylvia,1,0,0.5,0.5,0.0,0.0,2,0,0,0,0,0,2005-02-05,1,10,5,4,2,10,5,4,2,0,0,0,0,6,1,3,1,0,0,0,0,4,4,1,1,6,5,4,2,0,0,0,0,4,0,0,0,1,47,5,1,75.0,240.0,77.0,0.8333333333333334,0.16666666666666666,1,0,6,0.6666666666666666,26.004640752376847,80.0,265.0,80.0,0.75,0.25,1,0,4,0.75,28.923249621826596,0,0,0,1,0,0,0,0,0,0,0,0
Frank Mir,Tim Sylvia,0,0,1.0,0.4,0.0,1.0,1,0,0,0,0,0,2004-06-19,1,3,3,5,2,3,3,5,2,0,0,1,1,0,0,4,1,0,0,1,1,3,3,0,0,3,3,4,1,0,0,1,1,0,0,0,0,1,50,5,1,75.0,264.0,79.0,0.3333333333333333,0.5,0,1,6,0.8333333333333334,25.073752370000754,80.0,265.0,80.0,1.0,0.0,1,0,3,1.0,28.29079310321225,0,0,0,1,0,0,0,0,0,0,0,0
Minotauro Nogueira,Tim Sylvia,0,1,0.4,0.4,0.18,0.0,1,0,1,2,1,0,2008-02-02,1,70,28,131,53,85,40,167,87,11,2,0,0,63,22,129,51,3,2,2,2,4,4,0,0,68,27,112,42,2,1,5,2,0,0,14,9,1,688,5,1,75.0,240.0,77.0,0.0,0.0,1,0,1,1.0,31.66937034983607,80.0,265.0,80.0,0.4166666666666667,0.16666666666666666,1,0,12,0.75,31.913044073458046,0,0,0,1,0,0,0,0,0,0,0,0
Randy Couture,Tim Sylvia,1,0,0.52,0.23,0.7,0.0,0,0,7,0,0,0,2007-03-03,0,138,73,106,25,205,138,123,39,10,7,0,0,119,57,102,22,16,13,4,3,3,3,0,0,90,40,92,15,2,2,9,5,46,31,5,5,1,1500,5,1,73.0,205.0,75.0,0.6875,0.125,1,0,16,0.6875,43.69699583153658,80.0,265.0,80.0,0.5,0.2,1,0,10,0.8,30.993107319109907,0,0,0,1,0,0,0,0,0,0,0,0
Andrei Arlovski,Wesley Correira,1,0,0.61,0.13,0.0,0.0,0,0,0,0,0,0,2004-04-02,1,83,51,29,4,83,51,29,4,0,0,0,0,68,41,25,2,2,2,0,0,13,8,4,2,52,31,22,3,31,20,7,1,0,0,0,0,0,375,3,1,75.0,240.0,77.0,0.8,0.2,1,0,5,0.6,25.158627487217398,75.0,260.0,76.8076923076923,1.0,0.0,1,0,3,0.6666666666666666,25.39134958281142,0,0,0,1,0,0,0,0,0,0,0,0
Andrei Arlovski,Ian Freeman,1,0,0.53,0.09,0.0,0.0,0,0,0,0,0,0,2002-11-22,1,26,14,11,1,26,14,11,1,0,0,0,0,19,7,10,0,0,0,0,0,7,7,1,1,22,10,10,1,4,4,1,0,0,0,0,0,0,78,3,1,75.0,240.0,77.0,0.6666666666666666,0.3333333333333333,1,0,3,0.3333333333333333,23.79788770474411,71.0,225.0,72.68125,0.5,0.25,1,0,4,0.75,36.03359411897575,0,0,0,1,0,0,0,0,0,0,0,0
Katlyn Chookagian,Joanne Calderwood,0,0,0.37,0.42,0.0,0.75,0,0,0,0,0,0,2019-06-08,0,221,82,266,112,250,108,300,141,2,0,4,3,179,50,139,24,27,20,40,19,15,12,87,69,215,78,252,104,5,3,12,7,1,1,2,1,0,900,3,1,69.0,125.0,68.0,0.0,0.0,1,0,6,0.6666666666666666,30.442788010705215,66.0,125.0,65.0,0.125,0.375,1,0,8,0.625,33.457223625399564,0,0,0,0,0,0,0,0,0,0,1,0
Jessica Andrade,Joanne Calderwood,0,0,0.71,0.5,0.66,0.0,1,0,3,0,0,0,2016-09-10,0,28,20,26,13,58,44,36,23,3,2,0,0,18,10,16,3,10,10,4,4,0,0,6,6,3,2,19,8,6,6,5,4,19,12,2,1,0,278,3,1,61.0,115.0,62.0,0.25,0.375,1,0,8,0.625,24.961498182714223,66.0,125.0,65.0,0.25,0.25,1,0,4,0.75,30.71657871140407,0,0,0,0,0,0,0,0,0,0,0,1
Valerie Letourneau,Joanne Calderwood,0,2,0.55,0.55,0.0,0.5,0,0,0,1,0,0,2016-06-18,0,143,80,208,115,162,95,239,142,0,0,6,3,107,50,127,58,21,19,35,19,15,11,46,38,118,58,176,96,22,19,15,10,3,3,17,9,0,764,3,0,67.0,115.0,68.0,0.0,0.0,1,0,4,0.75,33.139626412588896,66.0,125.0,65.0,0.0,0.3333333333333333,1,0,3,0.6666666666666666,30.486594522817033,0,0,0,0,0,0,0,0,0,0,1,0
Lyman Good,Chance Rencountre,1,0,0.5,0.27,0.0,0.0,0,0,0,0,0,0,2019-11-02,0,134,68,83,23,142,73,85,23,0,0,1,0,113,52,54,6,10,6,26,14,11,10,3,3,124,59,80,20,9,8,3,3,1,1,0,0,0,723,3,1,72.0,170.0,74.0,0.5,0.25,1,0,4,0.5,34.43739433390145,74.0,170.0,75.0,0.0,0.3333333333333333,0,1,3,0.6666666666666666,32.83845664182016,0,0,0,0,0,0,0,1,0,0,0,0
Ismail Naurdiev,Chance Rencountre,0,0,0.48,0.16,1.0,0.25,0,0,1,4,0,0,2019-07-06,1,43,21,24,4,82,56,112,48,2,2,8,2,32,13,17,1,11,8,6,2,0,0,1,1,32,13,18,3,10,7,1,1,1,1,5,0,0,900,3,0,70.0,170.0,74.0,0.0,0.0,1,0,1,1.0,22.88068885740296,74.0,170.0,75.0,0.0,0.5,0,1,2,0.5,32.512645707988526,0,0,0,0,0,0,0,1,0,0,0,0
Lyman Good,Elizeu Zaleski dos Santos,0,0,0.45,0.37,1.0,0.14,0,0,0,0,0,0,2017-07-22,0,165,75,219,83,182,89,220,84,1,1,7,1,146,57,181,56,16,15,22,13,3,3,16,14,140,54,198,67,24,20,21,16,1,1,0,0,0,900,3,0,72.0,170.0,74.0,1.0,0.0,1,0,1,1.0,32.15671779708002,71.0,170.0,73.0,0.3333333333333333,0.0,1,0,3,0.6666666666666666,30.612538245138502,0,0,0,0,0,0,0,1,0,0,0,0
Jingliang Li,Elizeu Zaleski dos Santos,3,0,0.46,0.33,0.66,0.0,0,0,0,0,0,0,2019-08-31,0,128,59,160,54,128,59,162,55,3,2,1,0,108,45,114,23,6,4,33,21,14,10,13,10,113,47,156,51,11,8,4,3,4,4,0,0,0,891,3,1,72.0,170.0,71.0,0.45454545454545453,0.09090909090909091,1,0,11,0.7272727272727273,31.447599882269998,71.0,170.0,73.0,0.375,0.125,1,0,8,0.875,32.72072664051966,0,0,0,0,0,0,0,1,0,0,0,0
Keita Nakamura,Elizeu Zaleski dos Santos,0,0,0.41,0.28,0.83,1.0,0,2,5,2,0,0,2016-10-01,0,58,24,120,34,113,64,131,45,6,5,1,1,53,21,105,24,5,3,10,6,0,0,5,4,46,16,101,25,5,3,12,5,7,5,7,4,0,900,3,0,71.0,170.0,73.0,0.0,0.3333333333333333,0,1,6,0.3333333333333333,32.36206082260416,71.0,170.0,73.0,0.5,0.0,1,0,2,0.5,29.807593585083882,0,0,0,0,0,0,0,1,0,0,0,0
Julio Arce,Hakeem Dawodu,0,0,0.25,0.39,0.33,0.0,0,0,2,0,0,1,2019-11-02,0,124,32,139,55,162,64,170,83,3,1,0,0,101,21,79,15,22,11,42,25,1,0,18,15,116,28,121,40,8,4,14,11,0,0,4,4,0,900,3,0,67.0,145.0,70.0,0.25,0.25,0,1,4,0.75,30.015674517615007,68.0,145.0,73.0,0.25,0.25,1,0,4,0.75,28.337337522331055,0,1,0,0,0,0,0,0,0,0,0,0
Julio Arce,Julian Erosa,1,0,0.46,0.26,1.0,0.0,0,0,0,0,0,0,2019-05-18,0,160,74,160,43,160,74,164,46,1,1,0,0,142,61,129,23,17,12,24,15,1,1,7,5,155,71,151,39,4,2,9,4,1,1,0,0,0,709,3,1,67.0,145.0,70.0,0.0,0.3333333333333333,0,1,3,0.6666666666666666,29.55570614044094,73.0,145.0,74.0,0.5,0.0,0,1,4,0.25,29.79664195705593,0,1,0,0,0,0,0,0,0,0,0,0
Julio Arce,Daniel Teymur,0,0,0.35,0.36,0.0,0.0,1,0,1,0,0,0,2018-06-01,0,178,63,102,37,199,80,105,39,1,0,2,0,141,37,47,5,31,21,7,4,6,5,48,28,161,52,93,31,11,8,9,6,6,3,0,0,0,775,3,1,67.0,145.0,70.0,0.0,0.0,0,1,1,1.0,28.594700780987974,65.0,145.0,69.0,0.0,0.0,1,0,1,0.0,30.32505800940471,0,1,0,0,0,0,0,0,0,0,0,0
Michael Johnson,Stevie Ray,0,0,0.45,0.45,0.0,0.25,0,0,0,1,0,0,2019-10-26,0,173,78,188,85,176,81,207,104,0,0,4,1,134,46,156,59,26,19,4,4,13,13,28,22,172,77,142,57,1,1,0,0,0,0,46,28,0,900,3,0,70.0,155.0,73.0,0.2857142857142857,0.19047619047619047,0,1,21,0.5238095238095238,33.39425176423883,70.0,155.0,70.0,0.4,0.0,0,1,10,0.6,29.5885610245248,0,0,0,0,0,1,0,0,0,0,0,0
Joe Lauzon,Stevie Ray,0,0,0.6,0.55,0.71,0.0,1,1,5,0,0,0,2017-04-22,0,76,46,196,109,97,65,237,139,7,5,0,0,72,42,179,94,4,4,16,14,0,0,1,1,43,20,140,67,4,1,29,18,29,25,27,24,0,900,3,0,70.0,155.0,71.0,0.34782608695652173,0.34782608695652173,1,0,23,0.6086956521739131,32.91785594502283,70.0,155.0,70.0,0.4,0.0,0,1,5,0.8,27.07790029911634,0,0,0,0,0,1,0,0,0,0,0,0
Ross Pearson,Stevie Ray,0,0,0.41,0.41,0.0,0.33,0,0,0,0,0,0,2016-11-19,0,92,38,117,49,104,48,119,50,0,0,3,1,40,5,71,13,45,26,21,14,7,7,25,22,89,36,108,46,3,2,9,3,0,0,0,0,0,900,3,0,68.0,155.0,69.0,0.3333333333333333,0.047619047619047616,1,0,21,0.5238095238095238,32.148504076059055,70.0,155.0,70.0,0.5,0.0,0,1,4,0.75,26.65626262004011,0,0,0,0,0,1,0,0,0,0,0,0
Alan Patrick,Stevie Ray,0,0,0.58,0.22,0.62,0.0,1,1,6,2,0,0,2016-09-24,0,12,7,9,2,75,60,65,56,8,5,0,0,11,7,9,2,1,0,0,0,0,0,0,0,6,3,7,0,0,0,0,0,6,4,2,2,0,900,3,1,71.0,155.0,74.0,0.5,0.0,0,1,4,0.75,33.1861708317077,70.0,155.0,70.0,0.6666666666666666,0.0,0,1,3,1.0,26.502939827648753,0,0,0,0,0,1,0,0,0,0,0,0
Michael Johnson,Artem Lobov,0,0,0.45,0.35,1.0,0.0,0,0,0,0,0,0,2018-10-27,0,219,99,189,67,222,101,189,67,1,1,0,0,147,46,141,29,51,35,18,12,21,18,30,26,216,98,186,66,1,0,3,1,2,1,0,0,0,900,3,1,70.0,155.0,73.0,0.2631578947368421,0.21052631578947367,0,1,19,0.5263157894736842,32.39765361369501,69.0,145.0,65.0,0.0,0.0,0,1,6,0.3333333333333333,32.211475937219795,0,1,0,0,0,0,0,0,0,0,0,0
Cub Swanson,Artem Lobov,0,0,0.7,0.44,0.66,0.25,0,0,4,0,0,0,2017-04-22,0,296,209,276,123,344,251,290,134,3,2,8,2,190,114,205,79,55,47,35,17,51,48,36,27,248,171,260,117,38,29,15,5,10,9,1,1,0,1500,5,1,68.0,145.0,70.0,0.3333333333333333,0.25,1,0,12,0.75,33.470913160434506,69.0,145.0,65.0,0.0,0.0,0,1,4,0.5,30.697413362355146,0,1,0,0,0,0,0,0,0,0,0,0
Donald Cerrone,Justin Gaethje,0,1,0.32,0.65,0.0,0.0,0,0,0,0,0,0,2019-09-14,0,52,17,61,40,52,17,61,40,0,0,0,0,45,12,44,27,6,4,2,0,1,1,15,13,52,17,55,36,0,0,3,2,0,0,3,2,0,258,5,0,73.0,155.0,73.0,0.46875,0.1875,1,0,32,0.71875,36.46344551907294,71.0,155.0,70.0,1.0,0.0,1,0,5,0.6,30.831570805697584,0,0,0,0,0,1,0,0,0,0,0,0
Edson Barboza,Justin Gaethje,0,1,0.4,0.57,0.0,0.0,0,0,0,0,0,0,2019-03-30,0,32,13,35,20,32,13,37,22,0,0,0,0,21,6,28,13,5,3,2,2,6,4,5,5,30,11,22,12,2,2,13,8,0,0,0,0,0,150,5,0,71.0,145.0,75.0,0.45,0.1,1,0,20,0.7,33.1861708317077,71.0,155.0,70.0,1.0,0.0,1,0,4,0.5,30.371602428523516,0,0,0,0,0,1,0,0,0,0,0,0
Eddie Alvarez,Justin Gaethje,1,0,0.43,0.51,0.5,0.0,0,0,0,0,0,0,2017-12-02,0,356,155,237,122,366,162,240,124,2,1,1,0,299,113,180,69,49,36,17,16,8,6,40,37,325,128,218,106,28,24,16,15,3,3,3,1,0,839,3,1,69.0,155.0,69.0,0.3333333333333333,0.0,1,0,6,0.5,33.89255083951073,71.0,155.0,70.0,1.0,0.0,1,0,1,1.0,29.049193344148065,0,0,0,0,0,1,0,0,0,0,0,0
Dustin Poirier,Justin Gaethje,0,0,0.49,0.54,0.0,0.0,0,0,0,0,0,0,2018-04-14,0,351,174,212,115,357,179,213,116,5,0,0,0,314,142,143,56,26,21,12,9,11,11,57,50,338,162,194,98,13,12,18,17,0,0,0,0,0,933,5,1,69.0,155.0,72.0,0.42105263157894735,0.21052631578947367,0,1,19,0.7368421052631579,29.232633113616295,71.0,155.0,70.0,1.0,0.0,1,0,2,0.5,29.413334976077536,0,0,0,0,0,1,0,0,0,0,0,0
Michael Johnson,Melvin Guillard,0,0,0.32,0.21,0.25,0.0,0,0,0,0,0,0,2014-03-08,0,146,48,103,22,153,51,103,22,4,1,1,0,93,16,80,15,28,11,19,4,25,21,4,3,116,36,89,13,30,12,13,8,0,0,1,1,0,900,3,1,70.0,155.0,73.0,0.3,0.2,0,1,10,0.6,27.75963914385648,69.0,155.0,68.0,0.42857142857142855,0.2857142857142857,1,0,21,0.5714285714285714,30.941087085977124,0,0,0,0,0,1,0,0,0,0,0,0
Donald Cerrone,Melvin Guillard,1,1,0.44,0.35,0.0,0.0,0,0,0,0,0,0,2012-08-11,0,9,4,28,10,9,4,28,10,0,0,0,0,7,3,24,8,1,0,4,2,1,1,0,0,9,4,16,4,0,0,11,6,0,0,1,0,0,76,3,1,73.0,155.0,73.0,0.16666666666666666,0.3333333333333333,1,0,6,0.8333333333333334,29.37226637097271,69.0,155.0,68.0,0.4117647058823529,0.35294117647058826,1,0,17,0.6470588235294118,29.36952846396572,0,0,0,0,0,1,0,0,0,0,0,0
Ross Pearson,Melvin Guillard,0,0,0.27,0.31,0.0,0.0,0,0,0,0,0,0,2013-10-26,0,11,3,29,9,11,3,29,9,0,0,1,0,7,0,26,8,1,1,2,1,3,2,1,0,10,2,24,5,1,1,5,4,0,0,0,0,0,117,3,0,68.0,155.0,69.0,0.4,0.1,1,0,10,0.7,29.08204822823193,69.0,155.0,68.0,0.45,0.3,1,0,20,0.6,30.576945454047653,0,0,0,0,0,1,0,0,0,0,0,0
Nate Diaz,Melvin Guillard,0,1,0.28,0.26,1.0,1.0,2,0,0,0,0,0,2009-09-16,0,73,21,42,11,79,27,43,12,2,2,3,3,62,13,36,5,6,4,5,5,5,4,1,1,65,15,33,8,8,6,5,3,0,0,4,0,0,433,3,1,72.0,170.0,76.0,0.0,0.5714285714285714,0,1,7,0.7142857142857143,24.4193925953305,69.0,155.0,68.0,0.5,0.375,1,0,8,0.625,26.467347036557904,0,0,0,0,0,1,0,0,0,0,0,0
Mac Danzig,Melvin Guillard,0,1,0.41,0.44,0.0,0.0,0,0,0,0,0,0,2013-07-27,0,56,23,88,39,57,24,92,43,1,0,0,0,39,8,75,27,5,4,9,8,12,11,4,4,55,22,78,30,1,1,3,3,0,0,7,6,0,467,3,0,68.0,155.0,70.0,0.09090909090909091,0.36363636363636365,1,0,11,0.45454545454545453,33.56673990567911,69.0,155.0,68.0,0.42105263157894735,0.3157894736842105,1,0,19,0.5789473684210527,30.3277959164117,0,0,0,0,0,1,0,0,0,0,0,0
Josh Neer,Melvin Guillard,0,0,0.33,0.21,1.0,1.0,2,0,1,0,0,0,2006-01-16,1,9,3,51,11,14,8,53,12,1,1,2,2,8,2,41,5,0,0,5,1,1,1,5,5,7,2,32,6,0,0,3,1,2,1,16,4,0,260,3,1,71.0,170.0,72.0,0.0,1.0,1,0,1,0.0,22.817716996242222,69.0,155.0,68.0,1.0,0.0,1,0,1,1.0,22.80128955420029,0,0,0,0,0,0,0,1,0,0,0,0
Joe Stevenson,Melvin Guillard,0,0,0.66,0.14,1.0,0.0,1,0,0,0,0,0,2007-04-05,1,3,2,7,1,3,2,7,1,1,1,0,0,3,2,7,1,0,0,0,0,0,0,0,0,2,2,7,1,0,0,0,0,1,0,0,0,0,27,3,1,67.0,145.0,70.0,0.25,0.25,1,0,4,0.75,24.805437483315878,69.0,155.0,68.0,0.75,0.25,1,0,4,0.75,24.016920265303188,0,0,0,0,0,1,0,0,0,0,0,0
Rich Clementi,Melvin Guillard,0,0,0.66,0.27,1.0,1.0,2,0,3,0,1,0,2007-12-29,1,9,6,18,5,13,10,18,5,2,2,1,1,4,1,18,5,1,1,0,0,4,4,0,0,8,6,17,5,1,0,1,0,0,0,0,0,0,280,3,1,69.0,155.0,72.0,0.0,0.8,0,1,5,0.4,31.746031746031747,69.0,155.0,68.0,0.6,0.4,1,0,5,0.6,24.75067934317611,0,0,0,0,0,1,0,0,0,0,0,0
Michael Johnson,Shane Roller,0,0,0.47,0.6,1.0,0.08,0,0,0,1,1,0,2012-01-28,0,136,64,92,56,149,77,110,72,1,1,12,1,113,44,79,49,7,5,12,6,16,15,1,1,110,42,57,26,20,19,6,5,6,3,29,25,0,900,3,1,70.0,155.0,73.0,0.3333333333333333,0.3333333333333333,0,1,3,0.3333333333333333,25.651450748475327,70.0,155.0,72.0,0.6666666666666666,0.3333333333333333,1,0,3,0.3333333333333333,32.542762685065405,0,0,0,0,0,1,0,0,0,0,0,0
Jacob Volkmann,Shane Roller,0,0,0.32,0.0,0.25,0.0,2,0,1,0,0,0,2012-10-05,0,25,8,7,0,32,14,7,0,4,1,0,0,18,6,7,0,4,2,0,0,3,0,0,0,16,3,7,0,0,0,0,0,9,5,0,0,0,158,3,1,69.0,155.0,71.0,0.0,0.25,0,1,8,0.625,32.082794307891334,70.0,155.0,72.0,0.4,0.2,1,0,5,0.4,33.22997734381952,0,0,0,0,0,1,0,0,0,0,0,0
Melvin Guillard,Shane Roller,2,0,0.4,0.07,0.0,0.0,0,0,0,0,0,0,2011-07-02,1,42,17,13,1,42,17,13,1,0,0,0,0,30,11,10,1,8,3,3,0,4,3,0,0,33,11,13,1,2,2,0,0,7,4,0,0,0,132,3,1,69.0,155.0,68.0,0.46153846153846156,0.3076923076923077,1,0,13,0.6923076923076923,28.257938219128388,70.0,155.0,72.0,1.0,0.0,1,0,1,1.0,31.967802213597814,0,0,0,0,0,1,0,0,0,0,0,0
John Alessio,Shane Roller,0,0,0.33,0.44,0.0,0.42,0,0,1,4,1,0,2012-07-07,1,103,35,69,31,134,63,128,82,1,0,7,3,95,28,56,20,8,7,5,3,0,0,8,8,93,29,58,20,7,5,2,2,3,1,9,9,0,900,3,0,70.0,155.0,72.0,0.0,0.25,1,0,4,0.0,33.008206876253446,70.0,155.0,72.0,0.5,0.25,1,0,4,0.25,32.98356571319055,0,0,0,0,0,1,0,0,0,0,0,0
Michael Johnson,Paul Sass,0,0,0.3,0.12,0.0,0.0,0,3,0,0,0,0,2011-10-01,0,26,8,16,2,27,9,16,2,0,0,3,0,23,6,16,2,1,0,0,0,2,2,0,0,25,7,16,2,0,0,0,0,1,1,0,0,0,180,3,0,70.0,155.0,73.0,0.5,0.0,0,1,2,0.5,25.325639814643697,72.0,155.0,73.0,0.0,1.0,1,0,1,1.0,23.157217465108797,0,0,0,0,0,1,0,0,0,0,0,0
Jacob Volkmann,Paul Sass,0,0,0.4,0.25,0.0,0.0,0,2,1,0,0,0,2012-05-26,1,5,2,4,1,6,3,7,2,0,0,0,0,3,1,4,1,1,1,0,0,1,0,0,0,5,2,4,1,0,0,0,0,0,0,0,0,0,114,3,0,69.0,155.0,71.0,0.0,0.14285714285714285,0,1,7,0.7142857142857143,31.721390582968848,72.0,155.0,73.0,0.0,1.0,1,0,2,1.0,23.808839332772063,0,0,0,0,0,1,0,0,0,0,0,0
Terry Etim,Edward Faaloloto,0,0,0.83,0.0,0.0,0.0,1,0,0,0,0,0,2011-11-05,0,6,5,3,0,6,5,3,0,0,0,0,0,4,3,3,0,1,1,0,0,1,1,0,0,6,5,3,0,0,0,0,0,0,0,0,0,0,17,3,1,73.0,155.0,73.0,0.125,0.5,1,0,8,0.625,25.815725168894637,69.62558139534883,155.0,70.0,1.0,0.0,1,0,1,0.0,27.307884487703376,0,0,0,0,0,1,0,0,0,0,0,0
Tecia Torres,Marina Rodriguez,0,0,0.37,0.5,0.0,0.25,0,1,0,0,0,0,2019-08-10,0,108,41,167,84,126,58,186,98,7,0,4,1,70,17,91,31,26,17,51,36,12,7,25,17,89,29,123,44,19,12,43,39,0,0,1,1,0,900,3,0,61.0,115.0,60.0,0.0,0.1,1,0,10,0.6,29.982819633531147,66.0,115.0,65.0,0.0,0.0,1,0,2,0.5,32.28266151940149,0,0,0,0,0,0,0,0,0,0,0,1
Randa Markos,Nina Ansaroff,0,0,0.31,0.41,0.09,0.0,0,0,1,1,0,0,2018-07-28,0,72,23,118,49,79,30,127,56,11,1,0,0,68,20,84,20,2,2,10,6,2,1,24,23,61,17,107,44,0,0,4,1,11,6,7,4,0,900,3,0,64.0,115.0,63.0,0.0,0.125,1,0,8,0.5,32.96440036414163,65.0,115.0,64.0,0.0,0.25,1,0,4,0.5,32.64954105833795,0,0,0,0,0,0,0,0,0,0,0,1
